"","id","PC","DE","QD","LE","TY","SP","FF","JF","CN"
"118",1,7003,"Strada Crinului","-",0.15767,"TR",28.76,39.9,1.77346,0.84
"119",1,7004,"Strada Bârlogeni","-",0.136,"TR",33.09,36.6,0.83374,0.8
"120",1,7005,"Strada Subcetate","-",0.22157,"TR",19.59,40,3.78406,0.81
"121",1,3251,"Strada Berveni","-",0.28911,"TR",37.5,34.3,0,0.88
"122",1,7006,"Strada Palisandrului","-",0.14376,"TR",50,40,0,0.9
"123",1,7007,"Strada Jimbolia","-",0.1391,"TR",50,40,0,0.9
"124",1,7008,"Strada Durău","-",0.14337,"TR",50,40,0,0.9
"125",1,7009,"Strada Episcopul Vulcan","-",0.21831,"TR",15.18,37.6,3.14159,0.91
"126",1,3252,"Bulevardul Laminorului","-",0.10456,"TR",20.13,35.5,3.03086,0.87
"127",1,7010,"Strada Nazarcea","-",0.25649,"TR",32.48,58.7,3.44019,0.86
"128",1,7011,"Strada Bălăria","-",0.16626,"TR",22.95,40,3.05436,0.86
"129",1,7012,"Strada Truseşti","-",0.22795,"TR",26.93,40,2.18919,0.85
"130",1,3253,"Sublocotenent Constantin Godeanu","-",0.32885,"TR",18.12,40,4.26853,0.95
"131",1,3254,"Şoseaua Gheorghe Ionescu Siseşti","-",0.32714,"TR",6.78,38.4,9.1154,0.98
"132",1,3257,"CB","+",0.05484,"TR",21.56,22.5,0.3642,0.85
"133",1,3256,"Şoseaua Gheorghe Ionescu Siseşti","+",1.32632,"TR",42.89,40.2,0,0.96
"134",1,3254,"Şoseaua Gheorghe Ionescu Siseşti","+",0.05615,"TR",36.03,40,0.86396,0.99
"135",1,3253,"Sublocotenent Constantin Godeanu","+",0.28879,"TR",49.37,40,0,0.99
"136",1,7012,"Strada Truseşti","+",0.31466,"TR",50,40,0,0.94
"137",1,7011,"Strada Bălăria","+",0.23028,"TR",50,40,0,0.81
"138",1,7010,"Strada Nazarcea","+",0.1649,"TR",42.37,40,0,0.82
"139",1,3252,"Bulevardul Laminorului","+",0.26368,"TR",25.11,37.9,2.935,0.82
"140",1,7009,"Strada Episcopul Vulcan","+",0.09783,"TR",22.99,39.6,2.98866,0.79
"141",1,7008,"Strada Durău","+",0.21775,"TR",24.34,40,2.75321,0.79
"142",1,7007,"Strada Jimbolia","+",0.1434,"TR",22.39,40,3.1753,0.79
"143",1,7006,"Strada Palisandrului","+",0.1391,"TR",42.13,60,2.58961,0.79
"144",1,3251,"Strada Berveni","+",0.14143,"TR",47.38,60,1.82938,0.79
"145",1,7005,"Strada Subcetate","+",0.29259,"TR",25,34.3,2.35797,0.88
"146",1,7004,"Strada Bârlogeni","+",0.21672,"TR",31.94,35.2,0.80639,0.81
"147",1,7003,"Strada Crinului","+",0.1368,"TR",28.37,40,1.87501,0.81
"148",1,3250,"Strada Jiului","+",0.16092,"TR",9.22,32,3.14159,0.81
"149",1,7002,"Strada Pajurei","+",0.41697,"TR",20.63,38.6,3.37173,0.98
"150",1,7001,"Strada Prahova","+",0.27143,"TR",8.57,43.9,9.0028,0.99
"151",1,3249,"Şoseaua Chitilei","+",0.15793,"TR",6.01,34.9,9.14286,0.99
"152",1,3256,"Şoseaua Gheorghe Ionescu Siseşti","-",0.05281,"TR",8.03,39,8.93676,0.97
"153",1,3257,"CB","-",1.33056,"TR",4.56,37.9,9.4582,0.89
"154",1,3262,"Bulevardul Nicolae Grigorescu","+",0.01627,"TR",15.08,36,2.71828,0.81
"155",1,7144,"Aleea Firidei","+",0.36191,"TR",35.42,45.1,1.86701,0.85
"156",1,7143,"Aleea Fizicienilor","+",0.23284,"TR",27,50,3.99988,0.84
"157",1,3261,"Strada Fizicienilor","+",0.25379,"TR",38.61,42.7,0.83244,0.84
"158",1,7142,"Aleea Odobeşti","+",0.36179,"TR",36.01,47.5,2.10275,0.85
"159",1,3260,"Strada Liviu Rebreanu","+",0.28582,"TR",12.76,39.1,5.14159,0.84
"160",1,7141,"Drumul Murgului","+",0.21462,"TR",14.22,38.6,6.08563,0.9
"161",1,7140,"Strada Laboratorului","+",0.09409,"TR",48.12,45,0,0.88
